tablescraper-selected-row href,text-right,name,txt,progressBarTxt,progressBarTxt 2,progressBarTxt 3,text-center,kills,deaths,assists,text-center 2
https://www.leagueofgraphs.com/es/champions/builds/by-champion-name,,,,,,,,,,,
https://www.leagueofgraphs.com/es/champions/builds/kaisa,1.,Kai'Sa,AD Carry,30.9%,50.7%,31.4%,"/
                            
                            /",7.8,5.1,5.9,0.0068
https://www.leagueofgraphs.com/es/champions/builds/ezreal,2.,Ezreal,AD Carry,21.8%,47.2%,4.4%,"/
                            
                            /",6.2,5.3,6.7,0.0021
https://www.leagueofgraphs.com/es/champions/builds/thresh,3.,Thresh,Support,21.1%,52.0%,13.1%,"/
                            
                            /",1.8,5.4,13.3,0.0000
https://www.leagueofgraphs.com/es/champions/builds/senna,4.,Senna,"Support, AD Carry",20.9%,49.7%,24.1%,"/
                            
                            /",4.9,6.0,10.9,0.0013
https://www.leagueofgraphs.com/es/champions/builds/jhin,5.,Jhin,AD Carry,18.3%,50.4%,6.4%,"/
                            
                            /",7.2,5.0,7.7,0.0045
https://www.leagueofgraphs.com/es/champions/builds/vayne,6.,Vayne,AD Carry,17.1%,51.2%,12.4%,"/
                            
                            /",7.1,5.8,5.2,0.0070
https://www.leagueofgraphs.com/es/champions/builds/viego,7.,Viego,"Jungler, Mid",16.7%,49.6%,41.9%,"/
                            
                            /",7.2,6.1,5.6,0.0048
https://www.leagueofgraphs.com/es/champions/builds/seraphine,8.,Seraphine,Support,16.5%,52.9%,30.7%,"/
                            
                            /",2.7,5.2,12.0,0.0001
,,,,,,,,,,,
https://www.leagueofgraphs.com/es/champions/builds/jinx,9.,Jinx,AD Carry,16.0%,50.9%,4.0%,"/
                            
                            /",6.1,5.1,7.0,0.0057
https://www.leagueofgraphs.com/es/champions/builds/gnar,10.,Gnar,Top,14.2%,51.2%,15.6%,"/
                            
                            /",4.7,5.3,6.6,0.0004
https://www.leagueofgraphs.com/es/champions/builds/yone,11.,Yone,Mid,13.6%,49.0%,30.3%,"/
                            
                            /",6.3,6.0,5.3,0.0021
https://www.leagueofgraphs.com/es/champions/builds/lulu,12.,Lulu,Support,13.2%,51.0%,11.6%,"/
                            
                            /",1.4,4.7,13.1,0.0000
https://www.leagueofgraphs.com/es/champions/builds/hecarim,13.,Hecarim,Jungler,13.1%,51.2%,27.5%,"/
                            
                            /",6.7,5.1,8.1,0.0014
https://www.leagueofgraphs.com/es/champions/builds/lucian,14.,Lucian,"AD Carry, Mid",12.8%,47.1%,4.2%,"/
                            
                            /",6.7,5.8,5.8,0.0023
https://www.leagueofgraphs.com/es/champions/builds/leesin,15.,Lee Sin,Jungler,12.4%,48.2%,2.7%,"/
                            
                            /",6.6,5.4,7.9,0.0009
,,,,,,,,,,,
