FechaHora;Cantidad;;;;;;;;;;;;;;
7/01/2017 9:44:58 a. m.;1;;;;;;;;;;;;;;
7/01/2017 9:44:58 a. m.;1;;;;;;;;;;;;;;
7/01/2017 9:44:58 a. m.;1;;;;;;;;;;;;;;
7/01/2017 9:45:01 a. m.;1;;;;;;;;;;;;;;
7/01/2017 9:45:50 a. m.;1;;;;;;;;;;;;;;
7/01/2017 9:46:44 a. m.;1;;;;;;;;;;;;;;
7/01/2017 9:59:56 a. m.;1;;;;;;;;;;;;;;
7/01/2017 10:04:18 a. m.;1;;;;;;;;;;;;;;
7/01/2017 10:04:21 a. m.;1;;;;;;;;;;;;;;
7/01/2017 10:04:23 a. m.;1;;;;;;;;;;;;;;
7/01/2017 10:04:24 a. m.;1;;;;;;;;;;;;;;
7/01/2017 10:08:02 a. m.;1;;;;;;;;;;;;;;
7/01/2017 10:18:44 a. m.;1;;;;;;;;;;;;;;
7/01/2017 10:18:44 a. m.;1;;;;;;;;;;;;;;
7/01/2017 10:18:45 a. m.;1;;;;;;;;;;;;;;
7/01/2017 10:19:34 a. m.;1;;;;;;;;;;;;;;
7/01/2017 11:02:01 a. m.;3;;;;;;;;;;;;;;
7/01/2017 11:02:40 a. m.;1;;;;;;;;;;;;;;
7/01/2017 11:03:31 a. m.;2;;;;;;;;;;;;;;
7/01/2017 11:54:32 a. m.;1;;;;;;;;;;;;;;
7/01/2017 11:55:14 a. m.;1;;;;;;;;;;;;;;
7/01/2017 11:56:06 a. m.;1;;;;;;;;;;;;;;
7/01/2017 11:58:57 a. m.;1;;;;;;;;;;;;;;
7/01/2017 11:58:57 a. m.;1;;;;;;;;;;;;;;
7/01/2017 12:00:31 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:00:32 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:03:28 p. m.;5;;;;;;;;;;;;;;
7/01/2017 12:04:28 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:06:11 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:06:56 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:06:59 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:07:42 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:09:27 p. m.;2;;;;;;;;;;;;;;
7/01/2017 12:09:59 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:12:54 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:13:35 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:14:22 p. m.;2;;;;;;;;;;;;;;
7/01/2017 12:15:36 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:15:36 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:15:37 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:16:54 p. m.;2;;;;;;;;;;;;;;
7/01/2017 12:18:44 p. m.;3;;;;;;;;;;;;;;
7/01/2017 12:20:11 p. m.;2;;;;;;;;;;;;;;
7/01/2017 12:21:51 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:22:28 p. m.;6;;;;;;;;;;;;;;
7/01/2017 12:23:21 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:23:21 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:23:21 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:23:22 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:24:06 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:24:07 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:24:08 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:25:21 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:25:32 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:26:06 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:26:26 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:26:55 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:27:37 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:29:15 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:31:46 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:35:45 p. m.;1;;;;;;;;;;;;;;
7/01/2017 12:35:45 p. m.;1;;;;;;;;;;;;;;
