FechaHora;Cantidad
3/01/2018 12:13:30 p. m.;2
3/01/2018 12:14:39 p. m.;1
3/01/2018 12:14:39 p. m.;1
3/01/2018 12:15:03 p. m.;1
3/01/2018 12:16:41 p. m.;1
3/01/2018 12:16:43 p. m.;1
3/01/2018 12:18:03 p. m.;1
3/01/2018 12:18:45 p. m.;2
3/01/2018 12:20:04 p. m.;1
3/01/2018 12:21:15 p. m.;1
3/01/2018 12:24:03 p. m.;1
3/01/2018 12:24:04 p. m.;1
3/01/2018 12:24:05 p. m.;1
3/01/2018 12:24:30 p. m.;1
3/01/2018 12:24:54 p. m.;1
3/01/2018 12:25:21 p. m.;3
3/01/2018 12:27:00 p. m.;1
3/01/2018 12:27:00 p. m.;1
3/01/2018 12:27:13 p. m.;1
3/01/2018 12:29:17 p. m.;2
3/01/2018 12:31:14 p. m.;1
3/01/2018 12:31:39 p. m.;1
3/01/2018 12:32:13 p. m.;2
3/01/2018 12:32:48 p. m.;1
3/01/2018 12:33:33 p. m.;1
3/01/2018 12:33:33 p. m.;1
3/01/2018 12:33:49 p. m.;1
3/01/2018 12:34:26 p. m.;1
3/01/2018 12:35:11 p. m.;1
3/01/2018 12:37:55 p. m.;1
3/01/2018 12:38:16 p. m.;1
3/01/2018 12:38:45 p. m.;2
3/01/2018 12:40:36 p. m.;1
3/01/2018 12:40:54 p. m.;1
3/01/2018 12:41:09 p. m.;2
3/01/2018 12:42:16 p. m.;1
3/01/2018 12:42:16 p. m.;1
3/01/2018 12:42:16 p. m.;1
3/01/2018 12:42:17 p. m.;1
3/01/2018 12:42:41 p. m.;1
3/01/2018 12:44:15 p. m.;1
3/01/2018 12:44:29 p. m.;1
3/01/2018 12:44:44 p. m.;1
3/01/2018 12:44:57 p. m.;1
3/01/2018 12:46:48 p. m.;1
3/01/2018 12:46:48 p. m.;1
3/01/2018 12:46:49 p. m.;1
3/01/2018 12:48:09 p. m.;1
3/01/2018 12:48:26 p. m.;1
3/01/2018 12:49:34 p. m.;1
3/01/2018 12:49:48 p. m.;1
3/01/2018 12:51:18 p. m.;1
3/01/2018 12:52:14 p. m.;1
3/01/2018 12:52:46 p. m.;2
3/01/2018 12:55:51 p. m.;2
4/01/2018 9:39:16 a. m.;1
4/01/2018 9:39:16 a. m.;1
4/01/2018 9:39:17 a. m.;1
4/01/2018 9:39:47 a. m.;1
4/01/2018 9:39:48 a. m.;1
4/01/2018 9:40:28 a. m.;1
4/01/2018 9:41:04 a. m.;1
4/01/2018 9:44:09 a. m.;1
4/01/2018 9:46:16 a. m.;1
4/01/2018 9:58:41 a. m.;1
4/01/2018 9:59:50 a. m.;1
4/01/2018 10:01:56 a. m.;2
4/01/2018 10:03:24 a. m.;1
4/01/2018 10:04:56 a. m.;1
4/01/2018 10:05:47 a. m.;1
4/01/2018 10:06:08 a. m.;2
4/01/2018 10:08:06 a. m.;1
4/01/2018 10:08:16 a. m.;1
4/01/2018 10:12:37 a. m.;1
4/01/2018 10:13:17 a. m.;1
4/01/2018 10:15:26 a. m.;1
4/01/2018 10:15:41 a. m.;2
4/01/2018 10:17:57 a. m.;1
4/01/2018 10:18:16 a. m.;1
4/01/2018 10:19:45 a. m.;1
4/01/2018 10:19:46 a. m.;1
4/01/2018 10:20:00 a. m.;1
4/01/2018 10:21:58 a. m.;1
4/01/2018 10:22:16 a. m.;1
4/01/2018 10:22:16 a. m.;1
4/01/2018 10:22:17 a. m.;1
4/01/2018 10:24:46 a. m.;1
4/01/2018 10:24:58 a. m.;1
4/01/2018 10:26:07 a. m.;1
4/01/2018 10:26:22 a. m.;1
4/01/2018 10:26:39 a. m.;1
4/01/2018 10:26:54 a. m.;1
4/01/2018 10:27:02 a. m.;1
4/01/2018 10:28:52 a. m.;1
4/01/2018 10:28:52 a. m.;1
4/01/2018 10:28:53 a. m.;1
4/01/2018 10:30:19 a. m.;1
4/01/2018 10:30:48 a. m.;1
4/01/2018 10:31:10 a. m.;1
4/01/2018 10:32:33 a. m.;1
4/01/2018 10:32:33 a. m.;1
4/01/2018 10:32:34 a. m.;1
4/01/2018 10:33:47 a. m.;1
4/01/2018 10:34:07 a. m.;1
4/01/2018 10:35:37 a. m.;1
4/01/2018 10:35:38 a. m.;1
4/01/2018 10:35:40 a. m.;1
4/01/2018 10:38:16 a. m.;1
4/01/2018 10:38:42 a. m.;1
4/01/2018 10:39:35 a. m.;1
4/01/2018 10:39:55 a. m.;1
4/01/2018 10:41:44 a. m.;1
4/01/2018 10:41:44 a. m.;1
4/01/2018 10:41:45 a. m.;1
4/01/2018 10:41:45 a. m.;1
4/01/2018 10:56:46 a. m.;1
4/01/2018 10:57:05 a. m.;1
4/01/2018 10:57:25 a. m.;1
4/01/2018 10:57:27 a. m.;1
4/01/2018 10:58:25 a. m.;1
4/01/2018 10:59:37 a. m.;1
4/01/2018 11:00:30 a. m.;1
4/01/2018 11:00:30 a. m.;1
4/01/2018 11:00:31 a. m.;1
4/01/2018 11:00:31 a. m.;1
4/01/2018 11:02:00 a. m.;1
4/01/2018 11:02:19 a. m.;1
4/01/2018 11:03:11 a. m.;1
4/01/2018 11:03:50 a. m.;1
4/01/2018 11:03:50 a. m.;1
4/01/2018 11:03:51 a. m.;1
4/01/2018 11:08:55 a. m.;-1
4/01/2018 11:08:55 a. m.;-1
4/01/2018 11:08:55 a. m.;-1
4/01/2018 11:08:55 a. m.;-1
4/01/2018 11:22:14 a. m.;1
4/01/2018 11:22:55 a. m.;1
4/01/2018 11:23:10 a. m.;1
4/01/2018 11:23:36 a. m.;1
4/01/2018 11:25:53 a. m.;1
4/01/2018 11:26:07 a. m.;1
