year,month,day,high,low
2016,1,1,30°,20°
2016,1,2,29°,19°
2016,1,3,29°,18°
2016,1,4,29°,18°
2016,1,5,30°,18°
2016,1,6,28°,22°
2016,1,7,31°,19°
2016,1,8,31°,20°
2016,1,9,28°,20°
2016,1,10,27°,19°
2016,1,11,26°,19°
2016,1,12,30°,18°
2016,1,13,30°,18°
2016,1,14,31°,18°
2016,1,15,32°,18°
2016,1,16,31°,18°
2016,1,17,32°,19°
2016,1,18,31°,22°
2016,1,19,32°,19°
2016,1,20,30°,22°
2016,1,21,30°,19°
2016,1,22,31°,20°
2016,1,23,32°,19°
2016,1,24,32°,19°
2016,1,25,30°,18°
2016,1,26,30°,19°
2016,1,28,30°,19°
2016,1,29,30°,20°
2016,1,30,30°,19°
2016,1,31,30°,19°
2016,2,1,31°,19°
2016,2,2,31°,19°
2016,2,3,31°,19°
2016,2,4,27°,19°
2016,2,5,27°,20°
2016,2,6,32°,23°
2016,2,7,32°,18°
2016,2,8,30°,19°
2016,2,9,30°,19°
2016,2,10,30°,20°
2016,2,11,30°,19°
2016,2,12,26°,20°
2016,2,13,31°,20°
2016,2,14,33°,23°
2016,2,15,32°,19°
2016,2,16,32°,19°
2016,2,17,31°,21°
2016,2,18,32°,19°
2016,2,19,33°,20°
2016,2,20,32°,21°
2016,2,21,26°,19°
2016,2,22,26°,18°
2016,2,23,30°,19°
2016,2,24,27°,20°
2016,2,25,28°,21°
2016,2,26,30°,19°
2016,2,27,32°,20°
2016,2,28,31°,20°
2016,2,29,31°,20°
2016,3,1,31°,21°
2016,3,2,27°,20°
2016,3,3,29°,20°
2016,3,4,29°,22°
2016,3,5,30°,19°
2016,3,6,27°,21°
2016,3,7,29°,18°
2016,3,8,29°,19°
2016,3,9,28°,19°
2016,3,10,29°,19°
2016,3,11,30°,19°
2016,3,12,29°,19°
2016,3,13,29°,19°
2016,3,14,29°,19°
2016,3,15,30°,19°
2016,3,16,31°,19°
2016,3,17,26°,19°
2016,3,18,29°,20°
2016,3,19,31°,20°
2016,3,20,30°,21°
2016,3,21,29°,20°
2016,3,22,30°,19°
2016,3,23,30°,20°
2016,3,24,32°,20°
2016,3,25,33°,20°
2016,3,26,32°,20°
2016,3,27,30°,20°
2016,3,28,30°,20°
2016,3,29,32°,20°
2016,3,30,27°,20°
2016,3,31,28°,19°
2016,4,1,28°,20°
2016,4,2,26°,19°
2016,4,3,28°,19°
2016,4,4,21°,17°
2016,4,5,29°,19°
2016,4,6,31°,18°
2016,4,7,28°,19°
2016,4,8,31°,19°
2016,4,9,26°,20°
2016,4,10,29°,20°
2016,4,11,28°,19°
2016,4,12,22°,18°
2016,4,13,26°,18°
2016,4,14,30°,18°
2016,4,15,30°,21°
2016,4,16,31°,21°
2016,4,17,29°,19°
2016,4,18,28°,19°
2016,4,19,30°,19°
2016,4,20,30°,20°
2016,4,21,31°,21°
2016,4,22,28°,23°
2016,4,23,25°,21°
2016,4,24,25°,19°
2016,4,25,29°,18°
2016,4,26,27°,18°
2016,4,27,26°,18°
2016,4,28,25°,19°
2016,4,29,29°,18°
2016,4,30,28°,18°
2016,5,1,27°,17°
2016,5,2,26°,18°
2016,5,3,28°,18°
2016,5,4,28°,19°
2016,5,5,27°,19°
2016,5,6,27°,18°
2016,5,7,26°,18°
2016,5,8,26°,18°
2016,5,9,26°,18°
2016,5,10,22°,18°
2016,5,11,28°,22°
2016,5,12,29°,18°
2016,5,13,29°,23°
2016,5,14,28°,19°
2016,5,15,31°,20°
2016,5,16,30°,20°
2016,5,17,29°,19°
2016,5,18,27°,19°
2016,5,19,30°,20°
2016,5,20,30°,20°
2016,5,21,31°,19°
2016,5,22,29°,20°
2016,5,23,30°,20°
2016,5,24,27°,20°
2016,5,25,28°,20°
2016,5,26,23°,19°
2016,5,27,28°,17°
2016,5,28,24°,19°
2016,5,29,30°,19°
2016,5,30,27°,18°
2016,5,31,26°,17°
2016,6,1,27°,18°
2016,6,2,27°,18°
2016,6,3,25°,19°
2016,6,4,29°,18°
2016,6,5,29°,18°
2016,6,6,26°,19°
2016,6,7,28°,18°
2016,6,8,28°,18°
2016,6,9,28°,19°
2016,6,10,26°,17°
2016,6,11,29°,17°
2016,6,12,28°,21°
2016,6,13,28°,18°
2016,6,14,25°,18°
2016,6,15,28°,17°
2016,6,16,28°,17°
2016,6,17,29°,18°
2016,6,18,29°,19°
2016,6,19,25°,19°
2016,6,20,27°,18°
2016,6,21,29°,18°
2016,6,22,29°,17°
2016,6,23,28°,18°
2016,6,24,27°,19°
2016,6,25,28°,18°
2016,6,26,24°,17°
2016,6,27,30°,17°
2016,6,28,30°,18°
2016,6,29,29°,19°
2016,6,30,29°,18°
2016,7,1,25°,19°
2016,7,2,27°,18°
2016,7,3,27°,18°
2016,7,4,27°,19°
2016,7,5,25°,19°
2016,7,6,27°,18°
2016,7,7,29°,18°
2016,7,8,29°,19°
2016,7,9,28°,18°
2016,7,10,28°,18°
2016,7,11,29°,19°
2016,7,12,28°,19°
2016,7,13,27°,18°
2016,7,14,28°,18°
2016,7,15,27°,18°
2016,7,16,24°,17°
2016,7,17,28°,18°
2016,7,18,28°,18°
2016,7,19,28°,17°
2016,7,20,26°,18°
2016,7,21,26°,18°
2016,7,22,27°,18°
2016,7,23,27°,18°
2016,7,24,26°,18°
2016,7,25,27°,18°
2016,7,26,26°,21°
2016,7,27,26°,17°
2016,7,28,29°,18°
2016,7,29,28°,19°
2016,7,30,28°,19°
2016,7,31,28°,21°
2016,8,1,28°,18°
2016,8,2,28°,19°
2016,8,3,27°,18°
2016,8,4,26°,18°
2016,8,5,29°,19°
2016,8,6,31°,18°
2016,8,7,30°,19°
2016,8,8,28°,19°
2016,8,9,26°,17°
2016,8,10,28°,18°
2016,8,11,28°,19°
2016,8,12,27°,18°
2016,8,13,28°,19°
2016,8,14,29°,18°
2016,8,15,29°,18°
2016,8,16,29°,19°
2016,8,17,28°,19°
2016,8,18,29°,20°
2016,8,19,29°,18°
2016,8,20,30°,18°
2016,8,21,32°,18°
2016,8,22,31°,19°
2016,8,23,32°,18°
2016,8,24,27°,19°
2016,8,25,30°,18°
2016,8,26,28°,17°
2016,8,27,27°,17°
2016,8,28,30°,18°
2016,8,29,29°,19°
2016,8,30,26°,18°
2016,8,31,28°,18°
2016,9,1,27°,18°
2016,9,2,27°,18°
2016,9,3,24°,18°
2016,9,4,28°,18°
2016,9,5,28°,17°
2016,9,6,28°,18°
2016,9,7,26°,18°
2016,9,8,30°,17°
2016,9,9,29°,18°
2016,9,10,27°,18°
2016,9,11,24°,18°
2016,9,12,26°,17°
2016,9,13,27°,18°
2016,9,14,25°,17°
2016,9,15,27°,16°
2016,9,16,31°,17°
2016,9,17,29°,17°
2016,9,18,29°,18°
2016,9,19,30°,17°
2016,9,20,29°,21°
2016,9,21,27°,18°
2016,9,22,28°,18°
2016,9,23,29°,18°
2016,9,24,25°,18°
2016,9,25,24°,18°
2016,9,26,29°,18°
2016,9,27,29°,18°
2016,9,28,29°,18°
2016,9,29,29°,18°
2016,9,30,30°,18°
2016,10,1,24°,17°
2016,10,2,27°,17°
2016,10,3,29°,18°
2016,10,4,28°,19°
2016,10,5,26°,17°
2016,10,6,27°,18°
2016,10,7,26°,17°
2016,10,8,27°,18°
2016,10,9,25°,18°
2016,10,10,25°,18°
2016,10,11,26°,19°
2016,10,12,24°,19°
2016,10,13,29°,18°
2016,10,14,26°,18°
2016,10,15,27°,18°
2016,10,16,28°,16°
2016,10,17,28°,17°
2016,10,18,23°,19°
2016,10,19,27°,17°
2016,10,20,27°,18°
2016,10,21,29°,18°
2016,10,22,26°,19°
2016,10,23,25°,18°
2016,10,24,29°,18°
